id	difficulty	title	tags
1430	Medium	Check If a String Is a Valid Sequence from Root to Leaves Path in a Binary Tree	Tree,Depth-First Search,Breadth-First Search,Binary Tree
1431	Easy	Kids With the Greatest Number of Candies	Array
1432	Medium	Max Difference You Can Get From Changing an Integer	Greedy,Math
1433	Medium	Check If a String Can Break Another String	Greedy,String,Sorting
1434	Hard	Number of Ways to Wear Different Hats to Each Other	Bit Manipulation,Array,Dynamic Programming,Bitmask
1435	Easy	Create a Session Bar Chart	Database
1436	Easy	Destination City	Array,Hash Table,String
1437	Easy	Check If All 1's Are at Least Length K Places Away	Array
1438	Medium	Longest Continuous Subarray With Absolute Diff Less Than or Equal to Limit	Queue,Array,Ordered Set,Sliding Window,Monotonic Queue,Heap (Priority Queue)
1439	Hard	Find the Kth Smallest Sum of a Matrix With Sorted Rows	Array,Binary Search,Matrix,Heap (Priority Queue)
1440	Medium	Evaluate Boolean Expression	Database
1441	Medium	Build an Array With Stack Operations	Stack,Array,Simulation
1442	Medium	Count Triplets That Can Form Two Arrays of Equal XOR	Bit Manipulation,Array,Hash Table,Math,Prefix Sum
1443	Medium	Minimum Time to Collect All Apples in a Tree	Tree,Depth-First Search,Breadth-First Search,Hash Table
1444	Hard	Number of Ways of Cutting a Pizza	Memoization,Array,Dynamic Programming,Matrix,Prefix Sum
1445	Medium	Apples & Oranges	Database
1446	Easy	Consecutive Characters	String
1447	Medium	Simplified Fractions	Math,String,Number Theory
1448	Medium	Count Good Nodes in Binary Tree	Tree,Depth-First Search,Breadth-First Search,Binary Tree
1449	Hard	Form Largest Integer With Digits That Add up to Target	Array,Dynamic Programming
1450	Easy	Number of Students Doing Homework at a Given Time	Array
1451	Medium	Rearrange Words in a Sentence	String,Sorting
1452	Medium	People Whose List of Favorite Companies Is Not a Subset of Another List	Array,Hash Table,String
1453	Hard	Maximum Number of Darts Inside of a Circular Dartboard	Geometry,Array,Math
1454	Medium	Active Users	Database
1455	Easy	Check If a Word Occurs As a Prefix of Any Word in a Sentence	Two Pointers,String,String Matching
1456	Medium	Maximum Number of Vowels in a Substring of Given Length	String,Sliding Window
1457	Medium	Pseudo-Palindromic Paths in a Binary Tree	Bit Manipulation,Tree,Depth-First Search,Breadth-First Search,Binary Tree
1458	Hard	Max Dot Product of Two Subsequences	Array,Dynamic Programming
1459	Medium	Rectangles Area	Database
1460	Easy	Make Two Arrays Equal by Reversing Subarrays	Array,Hash Table,Sorting
1461	Medium	Check If a String Contains All Binary Codes of Size K	Bit Manipulation,Hash Table,String,Hash Function,Rolling Hash
1462	Medium	Course Schedule IV	Depth-First Search,Breadth-First Search,Graph,Topological Sort
1463	Hard	Cherry Pickup II	Array,Dynamic Programming,Matrix
1464	Easy	Maximum Product of Two Elements in an Array	Array,Sorting,Heap (Priority Queue)
1465	Medium	Maximum Area of a Piece of Cake After Horizontal and Vertical Cuts	Greedy,Array,Sorting
1466	Medium	Reorder Routes to Make All Paths Lead to the City Zero	Depth-First Search,Breadth-First Search,Graph
1467	Hard	Probability of a Two Boxes Having The Same Number of Distinct Balls	Array,Math,Dynamic Programming,Backtracking,Combinatorics,Probability and Statistics
1468	Medium	Calculate Salaries	Database
1469	Easy	Find All The Lonely Nodes	Tree,Depth-First Search,Breadth-First Search,Binary Tree
1470	Easy	Shuffle the Array	Array
1471	Medium	The k Strongest Values in an Array	Array,Two Pointers,Sorting
1472	Medium	Design Browser History	Stack,Design,Array,Linked List,Data Stream,Doubly-Linked List
1473	Hard	Paint House III	Array,Dynamic Programming
1474	Easy	Delete N Nodes After M Nodes of a Linked List	Linked List
1475	Easy	Final Prices With a Special Discount in a Shop	Stack,Array,Monotonic Stack
1476	Medium	Subrectangle Queries	Design,Array,Matrix
1477	Medium	Find Two Non-overlapping Sub-arrays Each With Target Sum	Array,Hash Table,Binary Search,Dynamic Programming,Sliding Window
1478	Hard	Allocate Mailboxes	Array,Math,Dynamic Programming,Sorting
1479	Hard	Sales by Day of the Week	Database
1480	Easy	Running Sum of 1d Array	Array,Prefix Sum
1481	Medium	Least Number of Unique Integers after K Removals	Greedy,Array,Hash Table,Counting,Sorting
1482	Medium	Minimum Number of Days to Make m Bouquets	Array,Binary Search
1483	Hard	Kth Ancestor of a Tree Node	Bit Manipulation,Tree,Depth-First Search,Breadth-First Search,Design,Binary Search,Dynamic Programming
1484	Easy	Group Sold Products By The Date	Database
1485	Medium	Clone Binary Tree With Random Pointer	Tree,Depth-First Search,Breadth-First Search,Hash Table,Binary Tree
1486	Easy	XOR Operation in an Array	Bit Manipulation,Math
1487	Medium	Making File Names Unique	Array,Hash Table,String
1488	Medium	Avoid Flood in The City	Greedy,Array,Hash Table,Binary Search,Heap (Priority Queue)
1489	Hard	Find Critical and Pseudo-Critical Edges in Minimum Spanning Tree	Union Find,Graph,Minimum Spanning Tree,Sorting,Strongly Connected Component
1490	Medium	Clone N-ary Tree	Tree,Depth-First Search,Breadth-First Search,Hash Table
